14 January 2015,Makar Sankranti
26 January 2015,Republic Day
17 February 2015,Maha Shiva Ratri
03 April 2015,Good Friday
01 May 2015,May Day
09 September 2015,Ganesh Chaturthi
02 October 2015,Gandhi Jayanti
21 October 2015,Ayudha Puja
22 October 2015,Dussera
11 November 2015,Deepawali
24 December 2015,Something
25 December 2015,Christmas
23 February 2015-9 March 2015,Mid-term Break
4 May 2015-31 May 2015,Summer Break
